,Task,Start,Finish,Status,Amount
0,REF014,2018-03-01 05:00:00.000,2018-03-01 05:22:07.000,PR000,127.0
1,REF006,2018-03-01 05:00:00.000,2018-03-01 05:22:07.000,PR000,127.0
2,REF014,2018-03-01 05:22:07.000,2018-03-01 05:24:11.000,PR000,6.0
3,REF006,2018-03-01 05:22:07.000,2018-03-01 05:24:11.000,PR000,6.0
4,REF014,2018-03-01 05:24:11.000,2018-03-01 05:24:46.000,PN020,0.0
5,REF006,2018-03-01 05:24:11.000,2018-03-01 05:24:46.000,PN020,0.0
6,REF014,2018-03-01 05:24:46.000,2018-03-01 05:30:02.000,PR000,17.0
7,REF006,2018-03-01 05:24:46.000,2018-03-01 05:30:02.000,PR000,17.0
8,REF014,2018-03-01 05:30:02.000,2018-03-01 05:33:34.000,PN020,0.0
9,REF006,2018-03-01 05:30:02.000,2018-03-01 05:33:34.000,PN020,0.0
10,REF014,2018-03-01 05:33:34.000,2018-03-01 05:35:19.000,PR000,3.0
11,REF006,2018-03-01 05:33:34.000,2018-03-01 05:35:19.000,PR000,3.0
12,REF014,2018-03-01 05:35:19.000,2018-03-01 05:36:41.000,PN020,0.0
13,REF006,2018-03-01 05:35:19.000,2018-03-01 05:36:41.000,PN020,0.0
14,REF014,2018-03-01 05:36:41.000,2018-03-01 05:42:30.000,PR000,20.0
15,REF006,2018-03-01 05:36:41.000,2018-03-01 05:42:30.000,PR000,20.0
16,REF014,2018-03-01 05:42:30.000,2018-03-01 06:27:40.000,PN023,0.0
17,REF006,2018-03-01 05:42:30.000,2018-03-01 06:27:40.000,PN023,0.0
18,REF014,2018-03-01 06:27:40.000,2018-03-01 06:29:51.000,PR000,3.0
19,REF006,2018-03-01 06:27:40.000,2018-03-01 06:29:51.000,PR000,3.0
20,REF014,2018-03-01 06:29:51.000,2018-03-01 06:30:50.000,PN020,0.0
21,REF006,2018-03-01 06:29:51.000,2018-03-01 06:30:50.000,PN020,0.0
22,REF014,2018-03-01 06:30:50.000,2018-03-01 06:32:24.000,PR000,2.0
23,REF006,2018-03-01 06:30:50.000,2018-03-01 06:32:24.000,PR000,2.0
24,REF014,2018-03-01 06:32:24.000,2018-03-01 06:33:23.000,PN020,0.0
25,REF006,2018-03-01 06:32:24.000,2018-03-01 06:33:23.000,PN020,0.0
26,REF014,2018-03-01 06:33:23.000,2018-03-01 07:39:10.000,PR000,367.0
27,REF006,2018-03-01 06:33:23.000,2018-03-01 07:39:10.000,PR000,367.0
28,REF014,2018-03-01 07:39:10.000,2018-03-01 07:43:42.000,PN020,0.0
29,REF006,2018-03-01 07:39:10.000,2018-03-01 07:43:42.000,PN020,0.0
30,REF014,2018-03-01 07:43:42.000,2018-03-01 07:47:44.000,PR000,18.0
31,REF006,2018-03-01 07:43:42.000,2018-03-01 07:47:44.000,PR000,18.0
32,REF014,2018-03-01 07:47:44.000,2018-03-01 07:48:55.000,PN020,0.0
33,REF006,2018-03-01 07:47:44.000,2018-03-01 07:48:55.000,PN020,0.0
34,REF014,2018-03-01 07:48:55.000,2018-03-01 08:47:23.000,PR000,278.0
35,REF006,2018-03-01 07:48:55.000,2018-03-01 08:47:23.000,PR000,278.0
36,REF014,2018-03-01 08:47:23.000,2018-03-01 08:55:01.000,PN020,0.0
37,REF006,2018-03-01 08:47:23.000,2018-03-01 08:55:01.000,PN020,0.0
38,REF014,2018-03-01 08:55:01.000,2018-03-01 08:59:29.000,PR000,18.0
39,REF006,2018-03-01 08:55:01.000,2018-03-01 08:59:29.000,PR000,18.0
40,REF014,2018-03-01 08:59:29.000,2018-03-01 09:02:12.000,PN023,0.0
41,REF006,2018-03-01 08:59:29.000,2018-03-01 09:02:12.000,PN023,0.0
42,REF014,2018-03-01 09:02:12.000,2018-03-01 12:33:32.000,PR000,1146.0
43,REF006,2018-03-01 09:02:12.000,2018-03-01 12:33:32.000,PR000,1146.0
44,REF014,2018-03-01 12:33:32.000,2018-03-01 12:34:56.000,PN020,0.0
45,REF006,2018-03-01 12:33:32.000,2018-03-01 12:34:56.000,PN020,0.0
46,REF014,2018-03-01 12:34:56.000,2018-03-01 12:39:03.000,PR000,19.0
47,REF006,2018-03-01 12:34:56.000,2018-03-01 12:39:03.000,PR000,19.0
48,REF014,2018-03-01 12:39:03.000,2018-03-01 12:42:12.000,PN020,0.0
49,REF006,2018-03-01 12:39:03.000,2018-03-01 12:42:12.000,PN020,0.0
50,REF014,2018-03-01 12:42:12.000,2018-03-01 12:47:11.000,PR000,26.0
51,REF006,2018-03-01 12:42:12.000,2018-03-01 12:47:11.000,PR000,26.0
52,REF014,2018-03-01 12:47:11.000,2018-03-01 12:49:51.000,PR000,14.0
53,REF006,2018-03-01 12:47:11.000,2018-03-01 12:49:51.000,PR000,14.0
54,REF014,2018-03-01 12:49:51.000,2018-03-01 12:49:56.000,PR000,0.0
55,REF006,2018-03-01 12:49:51.000,2018-03-01 12:49:56.000,PR000,0.0
56,REF014,2018-03-01 12:49:56.000,2018-03-01 12:50:24.000,PR000,1.0
57,REF006,2018-03-01 12:49:56.000,2018-03-01 12:50:24.000,PR000,1.0
58,REF014,2018-03-01 12:50:24.000,2018-03-01 12:58:56.000,PR000,26.0
59,REF006,2018-03-01 12:50:24.000,2018-03-01 12:58:56.000,PR000,26.0
60,REF014,2018-03-01 12:58:56.000,2018-03-01 13:00:00.000,PR000,2.0
61,REF006,2018-03-01 12:58:56.000,2018-03-01 13:00:00.000,PR000,2.0
62,REF014,2018-03-01 13:00:00.000,2018-03-01 13:19:32.000,PR000,63.0
63,REF006,2018-03-01 13:00:00.000,2018-03-01 13:19:32.000,PR000,63.0
64,REF014,2018-03-01 13:19:32.000,2018-03-01 13:20:31.000,FT001,0.0
65,REF006,2018-03-01 13:19:32.000,2018-03-01 13:20:31.000,FT001,0.0
66,REF014,2018-03-01 13:20:31.000,2018-03-01 13:22:55.000,PR000,8.0
67,REF006,2018-03-01 13:20:31.000,2018-03-01 13:22:55.000,PR000,8.0
68,REF014,2018-03-01 13:22:55.000,2018-03-01 13:30:31.000,PR000,20.0
69,REF006,2018-03-01 13:22:55.000,2018-03-01 13:30:31.000,PR000,20.0
70,REF014,2018-03-01 13:30:31.000,2018-03-01 13:31:05.000,FT001,0.0
71,REF006,2018-03-01 13:30:31.000,2018-03-01 13:31:05.000,FT001,0.0
72,REF014,2018-03-01 13:31:05.000,2018-03-01 13:31:55.000,FT001,0.0
73,REF006,2018-03-01 13:31:05.000,2018-03-01 13:31:55.000,FT001,0.0
74,REF015,2018-03-01 13:31:55.000,2018-03-01 14:16:10.000,PP006,0.0
75,Change,2018-03-01 13:35:06.000,2018-03-01 14:16:10.000,Change,0.0
76,REF015,2018-03-01 14:16:10.000,2018-03-01 15:01:54.000,PN020,0.0
77,Change,2018-03-01 14:16:10.000,2018-03-01 15:01:54.000,Change,0.0
78,REF015,2018-03-01 15:01:54.000,2018-03-01 15:02:53.000,PR000,1.0
79,Change,2018-03-01 15:01:54.000,2018-03-01 15:02:53.000,Change,0.0
80,REF015,2018-03-01 15:02:53.000,2018-03-01 15:07:57.000,PN023,0.0
81,Change,2018-03-01 15:02:53.000,2018-03-01 15:07:57.000,Change,0.0
82,REF015,2018-03-01 15:07:57.000,2018-03-01 15:10:16.000,PR000,6.0
