Task,Start,Finish,Status,Amount
Change,2019-04-01T06:00:00,2019-04-01T06:42:00,Change,0
REF004REF012,2019-04-01T06:42:00,2019-04-01T06:52:06.333861,REF004REF012,17
Change,2019-04-01T06:52:06.333861,2019-04-01T07:34:06.333861,Change,0
REF011,2019-04-01T07:34:06.333861,2019-04-01T07:52:29.056451,REF011,44
Change,2019-04-01T07:52:29.056451,2019-04-01T08:34:29.056451,Change,0
REF003REF005,2019-04-01T08:34:29.056451,2019-04-01T13:08:33.942687,REF003REF005,510
Change,2019-04-01T13:08:33.942687,2019-04-01T13:50:33.942687,Change,0
REF003,2019-04-01T13:50:33.942687,2019-04-01T16:59:38.068897,REF003,375.0
Idle,2019-04-01T16:59:38.068897,2019-04-01T17:00:00.000001,Idle,0
Change,2019-04-01T17:00:00.000001,2019-04-01T17:42:00.000001,Change,0
REF009,2019-04-01T17:42:00.000001,2019-04-01T21:59:43.355671,REF009,657.0
Idle,2019-04-01T21:59:43.355671,2019-04-01T22:00:00.000001,Idle,0
Change,2019-04-01T22:00:00.000001,2019-04-01T22:42:00.000001,Change,0
REF003,2019-04-01T22:42:00.000001,2019-04-02T05:59:37.870801,REF003,868.0
Idle,2019-04-02T05:59:37.870801,2019-04-02T06:00:00.000001,Idle,0
Change,2019-04-02T06:00:00.000001,2019-04-02T06:42:00.000001,Change,0
REF009,2019-04-02T06:42:00.000001,2019-04-02T16:59:49.688251,REF009,1575.0
Idle,2019-04-02T16:59:49.688251,2019-04-02T17:00:00.000001,Idle,0
Change,2019-04-02T17:00:00.000001,2019-04-02T17:42:00.000001,Change,0
REF003,2019-04-02T17:42:00.000001,2019-04-02T21:59:38.262650,REF003,511.0
Idle,2019-04-02T21:59:38.262650,2019-04-02T22:00:00.000001,Idle,0
Change,2019-04-02T22:00:00.000001,2019-04-02T22:42:00.000001,Change,0
REF009,2019-04-02T22:42:00.000001,2019-04-03T05:59:46.521961,REF009,1116.0
Idle,2019-04-03T05:59:46.521961,2019-04-03T06:00:00.000001,Idle,0
REF009,2019-04-03T06:00:00.000001,2019-04-03T07:06:17.636391,REF009,169.0
Change,2019-04-03T07:06:17.636391,2019-04-03T07:48:17.636391,Change,0
REF003,2019-04-03T07:48:17.636391,2019-04-03T16:59:52.233920,REF003,1094.0
Idle,2019-04-03T16:59:52.233920,2019-04-03T17:00:00.000001,Idle,0
REF003,2019-04-03T17:00:00.000001,2019-04-03T21:59:59.346921,REF003,595.0
Idle,2019-04-03T21:59:59.346921,2019-04-03T22:00:00.000001,Idle,0
REF003,2019-04-03T22:00:00.000001,2019-04-04T00:02:00.742782,REF003,242.0
Change,2019-04-04T00:02:00.742782,2019-04-04T00:44:00.742782,Change,0
REF012,2019-04-04T00:44:00.742782,2019-04-04T05:59:48.252708,REF012,566.0
Idle,2019-04-04T05:59:48.252708,2019-04-04T06:00:00.000001,Idle,0
REF012,2019-04-04T06:00:00.000001,2019-04-04T11:23:36.176250,REF012,580.0
Change,2019-04-04T11:23:36.176250,2019-04-04T12:05:36.176250,Change,0
REF006,2019-04-04T12:05:36.176250,2019-04-04T16:59:55.378544,REF006,796.0
Idle,2019-04-04T16:59:55.378544,2019-04-04T17:00:00.000001,Idle,0
Change,2019-04-04T17:00:00.000001,2019-04-04T17:42:00.000001,Change,0
REF001,2019-04-04T17:42:00.000001,2019-04-04T21:59:59.664140,REF001,685.0
Idle,2019-04-04T21:59:59.664140,2019-04-04T22:00:00.000001,Idle,0
Change,2019-04-04T22:00:00.000001,2019-04-04T22:42:00.000001,Change,0
REF006,2019-04-04T22:42:00.000001,2019-04-05T05:56:27.289819,REF006,1175.0
Idle,2019-04-05T05:56:27.289819,2019-04-05T06:00:00.000001,Idle,0
Change,2019-04-05T06:00:00.000001,2019-04-05T06:42:00.000001,Change,0
REF001,2019-04-05T06:42:00.000001,2019-04-05T16:59:40.801734,REF001,1640.0
Idle,2019-04-05T16:59:40.801734,2019-04-05T17:00:00.000001,Idle,0
REF001,2019-04-05T17:00:00.000001,2019-04-05T21:59:48.047672,REF001,796.0
Idle,2019-04-05T21:59:48.047672,2019-04-05T22:00:00.000001,Idle,0
REF001,2019-04-05T22:00:00.000001,2019-04-06T05:59:49.915494,REF001,1274.0
Idle,2019-04-06T05:59:49.915494,2019-04-06T06:00:00.000001,Idle,0
REF001,2019-04-06T06:00:00.000001,2019-04-06T10:57:55.057422,REF001,791.0
Change,2019-04-06T10:57:55.057422,2019-04-06T11:39:55.057422,Change,0
REF009REF017,2019-04-06T11:39:55.057422,2019-04-06T21:59:54.762508,REF009REF017,2684.0
Idle,2019-04-06T21:59:54.762508,2019-04-06T22:00:00,Idle,0
REF009REF017,2019-04-06T22:00:00,2019-04-06T23:14:36.715627,REF009REF017,323.0
Change,2019-04-06T23:14:36.715627,2019-04-06T23:56:36.715627,Change,0
REF001REF018,2019-04-06T23:56:36.715627,2019-04-06T23:59:54.829778,REF001REF018,12.0
Idle,2019-04-06T23:59:54.829778,2019-04-07T00:00:00,Idle,0
REF001REF018,2019-04-07T00:00:00,2019-04-07T12:44:23.425983,REF001REF018,2778.0
Idle,2019-04-07T12:44:23.425983,2019-04-08T00:00:00,Idle,0
Idle,2019-04-08T00:00:00,2019-04-08T00:00:00,Idle,0
