,V1,V2,V3,Hd1,Hd2,Hd3,I1,I2,I3,Q1,Q2,Q3,P1,P2,P3
2018-05-18 06:30:00+00:00,24.37984,56.97407,230.6956,6.038904991,6.038904991,6.038904991,0,0,0,-0.000310231,-0.00035396,-0.000664474,0,0,0
2018-05-18 06:45:00+00:00,19.09062,45.04382,182.1883,6.03890666,6.03890666,6.03890666,0,0,0,-0.000283951,-0.000364198,-0.000541838,0,0,0
2018-05-18 07:00:00+00:00,19.09062,45.04382,182.1883,6.03890666,6.03890666,6.03890666,0,0,0,-0.000283951,-0.000364198,-0.000541838,0,0,0
2018-05-18 07:15:00+00:00,19.09062,45.04382,182.1883,6.03890666,6.03890666,6.03890666,0,0,0,-0.000283951,-0.000364198,-0.000541838,0,0,0
2018-05-18 07:30:00+00:00,19.09062,45.04382,182.1883,6.03890666,6.03890666,6.03890666,0,0,0,-0.000283951,-0.000364198,-0.000541838,0,0,0
2018-05-18 07:45:00+00:00,19.09062,45.04382,182.1883,6.03890666,6.03890666,6.03890666,0,0,0,-0.000283951,-0.000364198,-0.000541838,0,0,0
2018-05-18 08:00:00+00:00,19.09062,45.04382,182.1883,6.03890666,6.03890666,6.03890666,0,0,0,-0.000283951,-0.000364198,-0.000541838,0,0,0
2018-05-18 08:15:00+00:00,19.09062,45.04382,182.1883,6.03890666,6.03890666,6.03890666,0,0,0,-0.000283951,-0.000364198,-0.000541838,0,0,0
2018-05-18 08:30:00+00:00,164.4707,167.1624,168.8016,4.368923918,4.554029301,4.362118782,41.46684,31.64357,31.55683,-4.362666,-1.871507,-3.957375,5.844765,4.373652,-2.77407
2018-05-18 08:45:00+00:00,228.7841,148.6696,229.5073,4.019191506,4.815999021,4.002283365,50.88778,28.41014,44.5306,-6.767136,2.487789,5.746978,8.127795,-1.29788,7.228774
2018-05-18 09:00:00+00:00,235.9491,236.8621,236.6687,4.112082969,4.691950453,3.688387083,46.2614,31.51933,51.44581,-7.185805,4.360836,5.521372,5.95678,-0.1173846,9.788355
2018-05-18 09:15:00+00:00,235.6464,236.509,236.2154,4.010415702,4.111549701,4.242588402,50.55062,43.38051,33.19048,-7.477407,5.053831,5.278911,7.321751,-7.155956,3.110485
2018-05-18 09:30:00+00:00,236.0023,236.8631,236.6052,4.071967554,4.192531509,4.062999395,49.68366,41.61367,45.75129,-6.933474,4.98021,5.282713,7.044299,-4.54496,7.708327
2018-05-18 09:45:00+00:00,236.1393,236.9763,236.8793,4.058348577,4.236739846,3.665685543,49.78851,38.4615,54.88919,-7.121416,5.423186,5.679497,7.256855,-4.214438,10.67845
2018-05-18 10:00:00+00:00,236.8279,237.671,237.609,4.027031529,4.335905861,3.573356924,52.68275,35.89178,59.96445,-7.507583,5.569418,6.16311,7.547062,-2.319732,11.4885
2018-05-18 10:15:00+00:00,236.9144,237.7183,237.7203,4.060593516,4.375751864,3.68321645,48.863,36.66247,51.52111,-6.942866,4.861545,5.709777,7.183181,-3.671806,9.441694
2018-05-18 10:30:00+00:00,235.795,210.5702,202.2191,3.871038081,4.213533128,4.260834372,55.40941,43.63968,35.97273,-6.692594,-3.272921,-1.256649,9.710519,6.390319,-2.351789
2018-05-18 10:45:00+00:00,235.626,236.5776,236.5497,3.995846189,4.148265668,3.702738966,52.50823,44.597,57.99464,-6.134304,-5.343888,-5.907325,8.799525,5.771836,-10.71231
2018-05-18 11:00:00+00:00,235.8545,236.8385,236.846,4.360529978,4.239005788,2.75644092,38.00242,40.50705,108.1148,-6.647325,-6.077653,-6.145556,2.280644,-4.810227,-24.54386
2018-05-18 11:15:00+00:00,236.0094,236.9652,237.0152,4.171785118,4.30951508,3.143723307,43.289,38.46886,85.31976,-6.698551,-5.543828,-6.203147,4.770327,-4.20672,-18.66819
2018-05-18 11:30:00+00:00,236.9155,237.8501,237.7786,4.146011379,4.253451653,3.241774439,43.44403,37.9249,82.33733,-7.280331,-5.460541,-5.622202,4.215333,-1.887012,-17.98074
2018-05-18 11:45:00+00:00,235.3348,236.3244,236.2605,4.06247818,4.348401855,3.468729542,47.30783,34.52308,72.96442,-7.105608,-5.332601,-5.557789,6.198017,0.8008199,-15.4818
2018-05-18 12:00:00+00:00,235.5112,236.5909,236.4523,4.181674347,4.287101481,3.180991179,44.08553,36.5333,81.64674,-7.548978,-5.787642,-6.557013,4.066238,-3.46522,-17.55435
2018-05-18 12:15:00+00:00,235.0037,236.1085,236.0092,4.171825376,4.115484041,3.257087953,44.97575,41.48788,85.56015,-7.42724,-6.143113,-6.405172,4.485822,-3.801185,-18.33515
2018-05-18 12:30:00+00:00,234.9694,236.072,235.8921,4.002711796,4.267172026,4.075245497,49.98082,37.56069,46.93726,-6.230751,-5.207192,-5.323585,7.741834,3.579109,-7.302423
2018-05-18 12:45:00+00:00,236.9894,238.1337,238.0031,4.121449547,4.245719679,3.204401171,44.51147,37.25422,89.78547,-7.582637,-6.07902,-6.111067,4.186222,-3.086321,-19.81691
2018-05-18 13:00:00+00:00,237.5225,238.5245,238.3705,4.129288998,4.272230742,3.54646328,44.10137,36.39289,72.61413,-7.625268,-5.973653,-5.834973,3.992434,0.4739336,-15.07064
2018-05-18 13:15:00+00:00,236.7793,237.6357,237.5425,3.981630781,4.117639288,3.904101916,50.86066,40.95138,56.23162,-7.36687,-5.866209,-5.519345,7.275809,3.541213,-10.33409
2018-05-18 13:30:00+00:00,236.3628,237.4167,237.4349,3.854161874,4.228240201,3.561502229,58.12863,37.3815,71.68908,-7.628244,-6.047589,-6.048347,9.599604,1.929956,-14.79991
2018-05-18 13:45:00+00:00,236.7249,237.6035,237.6674,3.685576255,3.719271889,3.933422788,65.79922,58.30394,47.06049,-7.542428,-5.716676,-5.750995,12.3508,11.48541,-7.955618
2018-05-18 14:00:00+00:00,236.3835,237.3119,237.4538,3.824907041,4.061120023,3.56004416,62.16643,44.89203,67.5315,-7.346835,-5.887969,-6.441708,11.13683,6.939225,-13.65977
2018-05-18 14:15:00+00:00,236.2916,237.2432,237.1711,3.693131651,3.954674366,3.868593448,68.4505,48.28048,48.91772,-7.388402,-5.814921,-6.213263,13.0323,8.275422,-8.098474
2018-05-18 14:30:00+00:00,236.5413,237.5978,237.4988,3.75490242,4.160097034,3.694277608,63.50918,41.99588,63.67485,-7.32725,-5.774172,-6.185139,11.67808,5.93195,-12.15678
2018-05-18 14:45:00+00:00,237.2525,238.2205,238.3159,3.904703483,4.125579144,3.134696507,55.53982,44.16482,88.05901,-7.811763,-5.533429,-6.591228,8.813587,7.053717,-19.39828
2018-05-18 15:00:00+00:00,236.6413,237.6642,237.6974,3.753880837,3.997463733,3.753561715,63.76453,52.25618,57.83471,-7.310284,-5.038698,-6.387144,11.78573,9.74046,-10.24637
2018-05-18 15:15:00+00:00,235.9785,237.135,236.8194,3.708891373,3.842088834,4.105457254,66.3942,55.79777,35.43311,-6.9834,-5.205449,-5.684496,12.74941,10.87958,-0.7737674
2018-05-18 15:30:00+00:00,234.7677,235.9529,235.7872,3.469963205,3.63793794,4.273365818,81.89549,65.15957,32.73136,-7.222433,-5.039698,-5.408078,16.85271,13.50015,-2.481452
2018-05-18 15:45:00+00:00,236.1269,237.3368,237.2361,3.424989426,3.687174251,4.084917769,88.44817,63.87407,36.79103,-7.238938,-5.016634,-5.880188,18.63836,13.22243,-4.404911
2018-05-18 16:00:00+00:00,235.4646,236.5825,236.5176,3.546394959,3.440330591,3.79733333,80.94931,79.20386,46.49661,-8.108575,-4.962319,-5.512915,16.12482,17.2357,-8.360373
2018-05-18 16:15:00+00:00,236.7876,237.8757,237.8004,3.436946692,3.605652181,3.943098327,88.96491,66.42847,41.92469,-8.097483,-5.599072,-5.837127,18.42996,13.78822,-5.392799
2018-05-18 16:30:00+00:00,236.2212,237.4947,237.3934,3.219858941,3.407711121,3.862596809,105.8526,81.4978,43.71668,-7.504826,-5.43183,-5.987843,23.07176,17.73746,-7.002992
2018-05-18 16:45:00+00:00,236.4533,237.4828,237.2666,3.51456803,3.532939424,4.124311695,81.19065,75.71749,33.20635,-7.283504,-4.949409,-5.338731,16.71146,16.34961,-2.708585
2018-05-18 17:00:00+00:00,236.3918,237.2806,237.1547,3.748889534,3.412309084,4.090104586,65.85931,85.15025,34.89974,-7.44621,-5.16748,-5.907763,12.19506,18.66428,1.765521
2018-05-18 17:15:00+00:00,234.6961,235.4105,235.3118,3.713821792,3.024002868,4.046381856,66.63158,117.723,35.56347,-7.596437,-4.976831,-5.869996,12.33643,26.70747,2.903163
2018-05-18 17:30:00+00:00,234.3949,235.1112,234.943,3.544511558,3.058570444,3.871354957,75.28082,117.5638,42.20338,-7.533977,-5.34574,-5.820145,14.92069,26.52613,6.520608
2018-05-18 17:45:00+00:00,234.9388,235.87,235.6002,3.408353714,3.214854149,3.98548627,83.53068,102.4219,37.26031,-7.438396,-6.119855,-6.266871,17.26435,22.65734,4.346967
2018-05-18 18:00:00+00:00,234.7153,235.7578,235.3858,3.464199098,3.327152125,3.869722627,84.43681,92.12901,47.18702,-7.178794,-5.597283,-5.906488,17.48545,20.18756,7.654501
2018-05-18 18:15:00+00:00,234.4381,235.7001,235.1126,3.297281008,3.334689278,3.41922556,95.60569,88.28497,64.70946,-7.46349,-6.367016,-6.533875,20.31536,19.02258,12.97802
2018-05-18 18:30:00+00:00,234.7038,235.814,235.2977,3.541622293,3.426747188,3.706904031,79.7422,79.7488,49.36732,-7.812136,-6.154082,-6.173389,15.86705,16.9074,8.776144
2018-05-18 18:45:00+00:00,235.3726,236.4471,235.9695,3.45998628,3.24196911,3.515794013,82.7747,94.52988,55.50919,-7.998204,-6.851301,-6.65785,16.75951,20.54005,10.44121
2018-05-18 19:00:00+00:00,235.6138,236.5842,236.3253,3.43569671,3.09298012,3.55196979,83.59061,110.3199,53.36121,-8.060051,-6.75915,-6.669622,17.00693,24.57933,9.866399
2018-05-18 19:15:00+00:00,236.2663,237.3739,237.0041,3.3324277,3.184751766,3.375115863,92.18938,97.51218,62.0174,-8.460454,-7.042885,-6.981776,19.20433,21.38279,12.26344
2018-05-18 19:30:00+00:00,236.2395,237.3287,237.0163,3.2099154,3.017955498,3.447255563,101.5623,111.0417,54.67373,-8.128438,-7.006783,-6.839267,21.82003,24.84779,10.29873
2018-05-18 19:45:00+00:00,236.0551,237.3055,236.7577,3.168464247,3.028129277,3.22070575,101.2531,107.4675,61.14,-8.156144,-7.114442,-6.566004,21.76538,23.93668,12.39379
2018-05-18 20:00:00+00:00,235.9915,237.19,236.595,3.217289367,3.139144069,3.191575746,97.96439,98.78584,63.11514,-8.79644,-7.152555,-5.963071,20.63241,21.68535,13.22988
2018-05-18 20:15:00+00:00,235.2305,236.386,235.8726,3.286676893,3.137411073,3.384054614,94.5306,101.6116,56.78415,-8.229443,-6.847267,-5.992503,19.8507,22.3976,11.37921
2018-05-18 20:30:00+00:00,235.5402,236.7208,236.136,3.337141944,3.229284664,3.472045331,90.96151,94.19513,53.01785,-7.882609,-6.099653,-5.312637,19.08237,20.76048,10.6948
2018-05-18 20:45:00+00:00,234.6989,236.0209,235.2889,3.336133567,3.28330684,3.314443063,94.40931,88.0873,59.17451,-8.145624,-6.370399,-5.01505,19.73338,19.07713,12.45632
2018-05-18 21:00:00+00:00,234.0127,235.2885,234.5856,3.280999558,3.312120236,3.318950274,98.5815,88.36089,63.43336,-7.813362,-6.53396,-5.005223,20.90395,18.97312,13.45149
2018-05-18 21:15:00+00:00,234.8774,236.0069,235.3407,3.422284478,3.290644892,3.272994624,85.11289,83.9055,63.85685,-7.809647,-6.499878,-5.476006,17.48756,18.02214,13.47882
2018-05-18 21:30:00+00:00,235.5237,236.5674,235.9923,3.328857487,3.232841844,3.292715332,90.41503,87.24718,62.0579,-7.829904,-5.985142,-5.371382,18.98901,19.10433,13.10482
2018-05-18 21:45:00+00:00,236.1676,237.209,236.6872,3.384741727,3.383511912,3.305601995,85.72419,81.34896,59.7364,-7.798437,-6.173478,-5.852403,17.81659,17.4915,12.33968
2018-05-18 22:00:00+00:00,236.3786,237.4269,236.8149,3.456016005,3.520076113,3.340433771,80.25881,71.51718,57.83557,-7.772568,-5.918707,-5.605999,16.36759,14.98932,11.9458
2018-05-18 22:15:00+00:00,235.082,236.1828,235.5024,3.406573571,3.534267418,3.342790424,81.31533,66.89603,57.08587,-7.529822,-6.214921,-5.53121,16.71012,13.65107,11.714
2018-05-18 22:30:00+00:00,235.3248,236.3532,235.7513,3.472911658,3.580053218,3.316791335,72.69402,63.56714,55.95301,-7.745356,-6.226575,-5.67921,14.33263,12.74229,11.3867
2018-05-18 22:45:00+00:00,235.3501,236.3052,235.8041,3.438906376,3.544842788,3.410571969,72.97386,64.45746,50.6768,-7.927422,-6.192562,-5.817764,14.3805,13.03442,9.852185
2018-05-18 23:00:00+00:00,235.6176,236.5457,235.9252,3.566129447,3.665613642,3.437664949,63.35417,56.84327,50.47751,-7.700812,-6.144041,-5.371103,11.80835,10.96469,10.04166
2018-05-18 23:15:00+00:00,235.0272,235.9993,235.3627,3.575808176,3.675367072,3.489895752,61.39095,56.39432,47.29553,-7.445361,-5.922079,-5.121859,11.39388,10.91492,9.267303
2018-05-18 23:30:00+00:00,235.0564,235.9952,235.4349,3.581754883,3.611985181,3.502737208,61.63718,58.43409,44.71339,-7.471397,-6.328719,-5.155836,11.43098,11.31929,8.580406
2018-05-18 23:45:00+00:00,235.8476,236.8441,236.176,3.560466938,3.640359678,3.526553447,61.73644,55.87963,42.24201,-7.523835,-6.682351,-4.978484,11.51947,10.45878,8.045488
2018-05-19 00:00:00+00:00,236.7436,237.7755,237.129,3.550120134,3.6358283,3.546719802,64.70312,54.0931,42.91273,-7.329498,-6.263512,-5.026907,12.48519,10.30977,8.206409
2018-05-19 00:15:00+00:00,236.149,237.1078,236.4924,3.515319502,3.550411899,3.512030396,62.90594,56.44039,42.15787,-7.640872,-6.129501,-4.925608,11.84277,11.07347,8.08474
2018-05-19 00:30:00+00:00,235.1227,236.0816,235.4968,3.494111056,3.700163796,3.495671758,66.23414,51.57643,43.33893,-7.607924,-5.985346,-4.924609,12.7055,9.623804,8.357739
2018-05-19 00:45:00+00:00,235.5986,236.5784,235.9403,3.531804503,3.655879651,3.550768735,63.56713,52.88691,41.29394,-7.668997,-6.224851,-5.006148,11.92917,9.910728,7.742473
2018-05-19 01:00:00+00:00,235.6965,236.6823,236.0111,3.589914002,3.666883303,3.512332592,62.31323,52.16704,42.20272,-7.578169,-6.302368,-4.952665,11.56069,9.646297,8.051172
2018-05-19 01:15:00+00:00,235.8794,236.8638,236.1878,3.560828161,3.620696166,3.548693684,62.49838,51.44228,40.68567,-7.639653,-6.570477,-5.183995,11.63231,9.367721,7.46839
2018-05-19 01:30:00+00:00,236.5275,237.4046,236.7954,3.519048267,3.606823054,3.44229006,61.70721,50.98811,43.20808,-7.789801,-6.363071,-5.301652,11.43187,9.425044,8.208418
2018-05-19 01:45:00+00:00,237.0207,237.8765,237.2539,3.511085632,3.618851762,3.49809055,62.6193,52.12135,40.16257,-8.001708,-6.43333,-5.114653,11.57348,9.698218,7.475931
2018-05-19 02:00:00+00:00,236.9622,237.8669,237.2671,3.353894361,3.558156115,3.437998182,67.9484,52.66883,41.26089,-7.924998,-6.50681,-5.279412,13.29294,9.865489,7.70981
2018-05-19 02:15:00+00:00,236.4869,237.3925,236.8161,3.386200827,3.537951036,3.450660335,66.59061,52.70887,40.20564,-7.74915,-6.393713,-5.255861,12.93355,9.948645,7.406805
2018-05-19 02:30:00+00:00,234.5755,235.493,234.8372,3.476692843,3.625259977,3.397437991,61.94591,49.16391,42.23935,-7.686882,-6.486672,-5.040241,11.49236,8.698415,8.047889
2018-05-19 02:45:00+00:00,235.1049,235.9685,235.3391,3.487669224,3.565937509,3.430429593,61.55944,48.8051,40.88529,-7.933812,-6.427215,-5.273121,11.22827,8.757776,7.529685
2018-05-19 03:00:00+00:00,235.0253,235.924,235.3232,3.478424437,3.52015987,3.42641571,60.987,51.94601,40.86422,-7.560245,-6.521295,-5.479401,11.34387,9.601928,7.380682
2018-05-19 03:15:00+00:00,233.7752,234.6781,234.0459,3.495737568,3.533670798,3.410024309,60.50493,51.09788,41.69573,-7.708997,-6.370842,-5.285875,11.0021,9.379698,7.699369
2018-05-19 03:30:00+00:00,233.8488,234.6683,234.1363,3.48486275,3.46601024,3.4931191,59.21017,54.81784,40.48219,-7.668859,-6.064813,-5.288887,10.69845,10.64751,7.27608
2018-05-19 03:45:00+00:00,234.2021,235.0815,234.6177,3.567964989,3.562641968,3.543967837,57.63718,49.95366,40.27737,-7.4585,-6.233837,-5.387078,10.30839,9.164941,7.120863
2018-05-19 04:00:00+00:00,234.3769,235.2588,234.8131,3.564938497,3.572479056,3.600619935,58.074,48.87657,38.32584,-7.482682,-6.21042,-5.430686,10.42573,8.87935,6.476274
2018-05-19 04:15:00+00:00,233.6933,234.58,234.1042,3.56752392,3.532843874,3.635656141,58.24163,50.68858,37.97041,-7.340907,-6.308699,-5.604813,10.52547,9.323944,6.147535
2018-05-19 04:30:00+00:00,234.0281,234.8774,234.4497,3.536488184,3.457539592,3.616612479,58.93534,54.74348,39.41397,-7.155149,-6.190691,-5.209485,10.91232,10.58518,6.9271
2018-05-19 04:45:00+00:00,235.5533,236.4736,235.9885,3.531299484,3.662715647,3.604897937,59.88636,49.54354,40.91531,-7.579521,-6.615609,-5.856043,10.99984,8.694149,6.916431
